company,plan,next
株式会社TVer,platinum,TRUE
WED株式会社,gold,TRUE
株式会社SocialDog,silver,TRUE
合同会社ザウエル,bronze,FALSE
株式会社LayerX,gold,TRUE
株式会社SODA,gold,TRUE
ミイダス株式会社,gold,TRUE
株式会社カオナビ,bronze,TRUE
株式会社Voicy,gold,TRUE
Tailor,bronze,FALSE
"MODE, Inc.",gold,TRUE
株式会社マネーフォワード,gold,TRUE
株式会社Kiva,platinum,TRUE
株式会社メルカリ,platinum,TRUE
株式会社はてな,silver,TRUE
株式会社ナレッジワーク,platinum,TRUE
株式会社フクロウラボ,bronze,TRUE
株式会社カンム,platinum,TRUE
株式会社ミラティブ,silver,TRUE
株式会社カミナシ,gold,TRUE
株式会社ビットキー,platinum,TRUE
株式会社カウシェ,silver,TRUE
matsuri technologies株式会社,silver,FALSE
ウォンテッドリー株式会社,gold,TRUE
株式会社CARTA HOLDINGS,platinum,TRUE
フラー株式会社,gold,TRUE
株式会社ドワンゴ,silver,TRUE
株式会社リクルート,gold,TRUE
株式会社ハイヤールー,platinum,TRUE
株式会社Gaudiy,gold,TRUE
GMOインターネットグループ,platinum,FALSE
"ZOZO, Inc.",gold,TRUE
株式会社Newbees,silver,TRUE
株式会社Hacobu,gold,TRUE
BASE株式会社,gold,TRUE
株式会社サイバーエージェント,gold,TRUE
株式会社モリサワ,bronze,FALSE
株式会社ヤプリ,gold,TRUE
エムスリー株式会社,gold,TRUE
コネヒト株式会社,silver,TRUE
株式会社アンドパッド,silver,TRUE
虎の穴ラボ株式会社,gold,FALSE
株式会社マクアケ,silver,TRUE
株式会社インフキュリオン,silver,TRUE
株式会社バニッシュ・スタンダード,silver,TRUE
株式会社ディー・エヌ・エー,bronze,TRUE
株式会社Mobility Technologies,platinum,TRUE
弁護士ドットコム株式会社,platinum,TRUE
株式会社BuySell Technologies,silver,TRUE
